product, price, location, date
Coffee Table - Perfect Condition,$100,NA,Dec  8
Swivel Arm TV Wall Mount  Universal for all size and brand TV's,$25, (North Hollywood),Dec  8
Craftsman 6.75 Lawn Mower,$100, (Long Beach),Dec  8
2006 Mercedes factory tool kit,$49, (Hidden Hills),Dec  8
Cooking easier!,$0, (FOUNTAIN VALLEY),Dec  8
2018 Audi A3 passenger side tail lamp NEW,$199, (south gate),Dec  8
Nightstand / End Table with drawers,$40, (Los Feliz),Dec  8
Potted house plant,$10, (Los Angeles),Dec  8
Potted Cactus,$40, (Los Angeles),Dec  8
2013 VW JETTA ... PASSENGER FRONT DOOR,$329, (lynwood),Dec  8
Waffle Iron and Sandwich Maker,$10, (Sun Valley),Dec  8
Waffle Iron and Sandwich Maker,$10, (Sun Valley),Dec  8
2 Couches Set,$80, (Los Feliz),Dec  8
1979 YAMAHA YZ 400 Vintage MotoCross Racer Project bike,$750, (Lakewood Village Country),Dec  8
2016 Mercedes Benz SL400 .... rear bumper,$799, (lynwood),Dec  8
Framed French Polynesian Tapa Cloth Fabric Art from Tahiti,$50, (Rancho Palos Verdes),Dec  8
Vintage Japanese Old Man Doll,$5, (Monterey Park),Dec  8
Smoked Blown Glass Swag Light,$175, (Mar Vista),Dec  8
Mid Century Thomasville Tamerlane King Geometric Headboard,$599, (Hacienda Heights),Dec  8
2018 LEXUS IS .. PASSENGER SIDE ROCKER PLANEL,$199, (south gate),Dec  8
Crate and Barrel drinking glasses,$47, (Porter Ranch),Dec  8
Xbox One X - With Kinect and Extras!,$350, (Northridge),Dec  8
Coffee Table,$80, (Walnut CA),Dec  8
French Polynesia Moorea Watercolor Framed Print,$90, (Rancho Palos Verdes),Dec  8
Crate and Barrel drinking glasses,$45, (Porter Ranch),Dec  8
Mid-Century Cosco Kitchen Step Stool,$75, (Fullerton),Dec  8
Pearl & Peace Drum Cymbal Stands Velocity Nitro Drive Hi Hat,$60, (El Sereno),Dec  8
ELECTRIC SEAT AND STAND DESK MOCH WITH SYLVER BASE IN PERFECT CONDITIO,$250, (LOS ANGELES),Dec  8
Crate and Barrel drinking glasses,$45, (Porter Ranch),Dec  8
LEGO DUPLO CARS 3,$50, (Bellflower),Dec  8
2019 Ford F350 doolie passenger side rear quarter panel fender,$399, (south gate),Dec  8
You need loan for your business,$0,NA,Dec  8
Vintage Metal Stool or Plant Stand,$95, (Mar Vista),Dec  8
Sportspower 14ft Trampoline,$300, (Long Beach),Dec  8
Graco Play Pen -,$3,NA,Dec  8
Disneyland Summertime Main Street USA LE by Wooster Scott,$500, (Rancho Palos Verdes),Dec  8
JDM PRIUS 2011-2015 / LEXUS CT200H 2011-2017 1.8L HYBRID ENGINE 2ZR-FX,$1099, (Wilmington),Dec  8
2011 VOLVO XC60 .. REAR BUMPER,$189, (south gate),Dec  8
Vintage Ornate Metal Cherub table Lamp chippy white,$35, (granada hills),Dec  8
Pokémon Fossil - 18 card lot with Lapras Holo,$20, (Monterey Park),Dec  8
Pokémon Base Set 1ST EDITION Shadowless Cards,$600, (Alhambra),Dec  8
Pokémon - 4 Shadowless Charmeleon - Heavy Play,$20, (Monterey Park),Dec  8
4 Asko Washer Absorber Kit Set For Sale,$50, (626),Dec  8
Pokémon Base Set 2 Lot - with Hitmonchan Holo and Chansey Holo,$20, (Monterey Park),Dec  8
🌈 PARADISE BEST-$49 CARPET TILE CLEANING 🌈SANITIZING RUG CLEANER,$0,NA,Dec  8
Peavey Stereo Chorus 400 +Sunn Speakers,$300, (Redlands),Dec  8
Lovely Wooden Golden Striped Ottoman Foot Stool Chair,$80, (El Sereno),Dec  8
Pro-Ject Phono Box II phono amp,$80, (Hollywood),Dec  8
2016 Subaru Legacy Outback ...  passenger side headlamp hid,$199, (south gate),Dec  8
Garage Door Springs For Sale,$12, (626),Dec  8
Large Geometric Flat Weave Kilim Rug,$575, (Mar Vista),Dec  8
Disney It's a Small World Doll Designs 1963 Framed LimitedEdition,$600, (Rancho Palos Verdes),Dec  8
Samsung Plasma 36 inch TV For Sale,$150, (626),Dec  8
Low Brow Johnny Ace Rat Rod Ed Roth ROCK POSTERS Misfits Cramps etc,$100, (El Sereno),Dec  8
HTC Evo 3D PG86100 (Sprint) Black,$56, (Van Nuys),Dec  8
2018 Honda Clarity rear bumper rebar,$259, (south gate),Dec  8
Eureka Heavy Duty Vacuum Cleaner For Sale,$125, (626),Dec  8
(4) NEW 215/50/17 SUMITOMO TIRES,$380, (South El Monte),Dec  8
MacBook Air 13" - 2018 - 16GB / 256 GB SSD,$1100, (Los Angeles),Dec  8
2020 Chevy Blazer passenger side front door shell door,$299, (south gate),Dec  8
SPECIAL SIZE UL Room Air Conditioner 5000 BTUS For Sale,$150, (626),Dec  8
Star Wars Chess Pieces  (13 Replacement pieces) Boba Fett Luke Padme,$8, (Monterey Park),Dec  8
Yamaha Tour Custom Drums Drum Set,$499, (El Sereno),Dec  8
lot of plumbing PVC plastic pipe fitting,$35, (granada hills),Dec  8
2 Ford F-150 Owner’s Manuals For Sale,$30, (626),Dec  8
Delsey Feather Lightweight 17.5" Rolling Trolley Carry On - New w/ tag,$20, (El Sereno),Dec  8
2018 Dodge Durango passenger side headlamp,$399, (south gate),Dec  8
KENMORE MINI FRIDGE FOR SALE,$125, (626),Dec  8
ZACA SPACECAB Medicine Cabinet For Sale,$30, (626),Dec  8
Lot of 2 BLUE SAFETY 75% ALCOHOL HAND SANITIZER GEL 500ml 17FL OZ,$15, (koreatown),Dec  8
Boutique Black Cat OD Boost - overdrive distortion guitar efx pedal,$100, (El Sereno),Dec  8
Mustang GT tail light,$40, (Lax),Dec  8
JDM Toyota 5VZ Engine 3.4L 1996-2002 4Runner T100 Tacoma 5VZ-FE,$1499, (Wilmington),Dec  8
2018 TOYOTA PRIUS PRIME ... GRILL,$199, (south gate),Dec  8
Callaway Great Big Bertha and Big Bertha Warbird Woods,$20, (North Hollywood),Dec  8
Cream Legbar trio,$70, (Lax),Dec  8
Vintage Crystal Race Car - West Germany,$25, (Monterey Park),Dec  8
Fox body cobra side skirts,$120,NA,Dec  8
Taylormade Spider X Mallet Putter,$160, (North Hollywood),Dec  8
2016-2017-2018 CHEVY CAMARO RS FRONT LOWER GRILLE TEXTURE,$179, (south gate),Dec  8
Very solid Futon (Couch/sofa) opens to a bed!,$0, (FOUNTAIN VALLEY),Dec  8
STAINED GLASS BILLIARDS POOL TABLE LIGHT,$150, (Lakewood ca),Dec  8
2018 Tesla Model 3 passenger side mirror,$199, (south gate),Dec  8
70s Desk Lamp,$25, (Granada Hills),Dec  8
large multi color slap of marble,$25, (granada hills),Dec  8
Pair of Decorative Hummingbird Figure Eggs,$15, (Monterey Park),Dec  8
head tennis bag brand new,$20, (Lakewood ca),Dec  8
2015 PORSCHE BOXSTER .. FRONT  BUMPER,$199, (south gate),Dec  8
VINTAGE Antique POTS  21" Milk PITCHER solid COPPER 12" Planter Brass,$1, (Los Angeles Hollywood SilverLake),Dec  8
Gretsch 5622T Thinline Center Block Semi Hollow Electric Guitar,$699, (El Sereno),Dec  8
women's schwinn destin beach cruiser,$120, (Lakewood ca),Dec  8
Archangels pigeons,$0,NA,Dec  8
1973 YAMAHA 250 "MOTOCROSS"VINTAGE"MotoCross"2 stroke"RacerProjectBike,$950, (Lakewood Village Country Club California),Dec  8
Ufip 20" Ride Cymbal Made In Italy Bravo Handicraft,$80, (El Sereno),Dec  8
FUTON (Sofa) turns into a bed washable cover!,$0, (FOUNTAIN VALLEY),Dec  8
2006 CADILLAC ESCALADE DRIVER HEAD LAMP,$259, (south gate),Dec  8
2004-2005 BMW E60 525 530 6 speed manual swap,$1850, (90660),Dec  8
VTG Art Deco 6 SIDED Antique Slag Glass Lamp w/NO Glass panels,$25, (granada hills),Dec  8
Clymer 1932 to 1955 Ford Owners Handbook of Repair and Maintenance,$12,NA,Dec  8
Apple MacBook gold great lightweight design,$300, (Culver City),Dec  8
